Payment type,2022 S1,2022 S2,2023 S1,2023 S2,2024 S1,2024 S2
Credit transfers,3564.8,3631.0,3618.2,3662.0,3735.7,3853.4
of which:,,,,,,
Domestic,3346.9,3409.5,3405.8,3421.0,3482.0,3586.9
Cross-border,218.0,221.4,212.4,241.0,253.7,266.5
of which:,,,,,,
Initiated in paper-based form 2,333.2,326.0,317.5,307.5,292.7,290.8
Initiated electronically,3153.9,3268.2,3264.7,3318.1,3411.3,3531.1
of which:,,,,,,
Initiated by domestic and foreign payment initiation service providers,62.3,65.0,67.1,80.8,83.3,85.2
Initiated via SEPA credit transfer instant scheme,82.1,96.9,115.7,131.1,150.9,186.3
Direct debits,5058.8,5092.4,4713.2,4893.5,4790.9,5102.7
of which:,,,,,,
Domestic,4848.8,4874.4,4537.5,4740.4,4648.1,4942.4
Cross-border,210.0,218.0,175.7,153.1,142.8,160.3
Card payments,4723.5,5425.7,5643.7,6166.7,6180.7,6933.4
of which:,,,,,,
Domestic,3981.4,4535.8,4793.2,5164.9,5252.5,5760.8
Cross-border,742.1,889.9,850.5,1001.8,928.2,1172.6
of which:,,,,,,
initiated electronically,4684.2,5378.5,5595.3,6115.1,6136.5,6888.0
of which:,,,,,,
initiated via remote payment channel,581.3,638.6,645.8,705.3,685.5,796.0
of which:,,,,,,
Domestic,188.4,212.2,219.0,237.1,223.5,249.5
Cross-border,392.9,426.4,426.9,468.2,462.0,546.5
initiated via non-remote payment channel,4102.8,4739.9,4949.5,5409.8,5451.0,6092.0
of which:,,,,,,
Domestic,3777.2,4304.7,4554.1,4905.7,5012.9,5494.7
Cross-border,325.6,435.1,395.4,504.1,438.1,597.4
of which:,,,,,,
Contactless payments at a terminal,2766.7,3485.7,3828.9,4274.7,4444.2,5051.4
of which:,,,,,,
with a debit card,3813.5,4433.3,4648.6,5074.9,5120.5,5756.6
of which:,,,,,,
Domestic,3496.5,4012.1,4251.9,4577.7,4658.5,5107.6
Cross-border,317.0,421.2,396.7,497.2,462.0,648.9
with a delayed debit card,776.6,839.9,839.8,915.7,891.4,981.1
of which:,,,,,,
Domestic,423.6,454.7,468.1,504.0,509.4,556.7
Cross-border,353.0,385.3,371.7,411.7,382.0,424.4
with a credit card,94.1,105.2,106.9,124.5,124.6,150.3
of which:,,,,,,
Domestic,45.5,50.1,53.0,61.2,68.5,79.8
Cross-border,48.6,55.1,53.9,63.4,56.2,70.6
Cash withdrawals using card-based payment instruments,745.8,804.5,787.9,768.0,721.0,741.6
of which:,,,,,,
Domestic,727.6,780.7,768.7,746.0,704.5,721.9
Cross-border,18.2,23.9,19.2,22.0,16.5,19.7
of which:,,,,,,
with a debit card,721.4,783.7,768.7,748.0,702.7,722.8
with a delayed debit card,22.1,18.1,16.5,17.2,15.7,16.3
with a credit card,2.4,2.8,2.7,2.8,2.6,2.6
E-money payment transactions,7.8,8.5,9.1,9.6,10.4,15.9
Cheques,1.9,1.6,1.4,1.2,1.1,0.9
Money remittances,4.3,4.4,3.6,3.4,3.4,3.6
of which:,,,,,,
Domestic,1.3,1.5,1.3,1.3,1.3,1.5
Cross-border,3.0,2.9,2.3,2.1,2.1,2.0
Other payment services 3,13.6,14.7,13.2,12.0,14.2,12.4
Total payment transactions sent involving non-MFIs,14120.7,14982.9,14790.4,15516.4,15457.3,16663.9
of which:,,,,,,
Domestic,12922.7,13619.9,13523.0,14090.2,14105.7,15036.7
Cross-border,1198.0,1363.0,1267.4,1426.2,1351.7,1627.2
Payments initiated by domestic,,,,,,
payment initiation service providers,106.2,108.2,101.3,111.3,98.7,99.5
of which:,,,,,,
Domestic,88.1,90.5,85.2,94.2,84.2,87.2
Cross-border,18.2,17.8,16.1,17.1,14.5,12.3
Memorandum items:,,,,,,
Credits to the accounts by simple book entry,310.6,354.1,262.8,275.7,230.1,303.5
Debits to the accounts by simple book entry,1068.5,1150.7,947.8,892.0,901.4,931.2
